item_id,title,genre,description
1,The Quantum Paradox,Sci-Fi,"A brilliant physicist discovers a way to travel between parallel universes, but must stop a catastrophic collapse of reality."
2,Laughing Matters,Comedy,"A group of stand-up comedians embark on a cross-country road trip, facing hilarious challenges and discovering the true meaning of friendship."
3,Shadows of the Past,Thriller,A detective haunted by a past case must solve a new string of murders that seem eerily similar to the ones he never solved.
4,Love in Paris,Romance,Two strangers meet by chance in the romantic city of Paris and spend a magical week together before going their separate ways.
5,Galactic Warriors,Sci-Fi Action,An elite team of soldiers must defend the galaxy from an ancient alien threat that has awakened from hibernation.
6,The Haunted Manor,Horror,"A family moves into an old, secluded mansion, only to realize that they are not alone and the house holds dark secrets."
7,Tech Startup Story,Drama,"A group of ambitious college dropouts build a revolutionary tech company, but success brings unexpected personal and professional challenges."
8,Space Explorers,Sci-Fi Documentary,"A visually stunning journey through the cosmos, exploring the latest discoveries in astronomy and space travel."
9,The Last Stand,Action,A retired soldier is pulled back into action to save his kidnapped daughter from a ruthless international crime syndicate.
10,Culinary Delights,Documentary,"An exploration of world cuisines, following renowned chefs as they create their signature dishes and share their passion for food."
